"ID","YearStart","YearEnd","Who_Region","RegionAbbr","SurveySiteAbbr","SurveySite","DataSource","Country","CountryAbbr","Class","Topic","ShortQuestionText","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"358083","2008","2008","African Region","AFR","bc100","Botswana - National","GYTS","Botswana","bc","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","31.9","","","25.0","39.6","162","-22.328474","24.684866","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358119","2008","2008","African Region","AFR","by100","Burundi - National","GYTS","Burundi","by","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","15.5","","","6.4","33.1","42","-3.373056","29.918886","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355851","2007","2007","African Region","AFR","cv100","Cape Verde - National","GYTS","Cape Verde","cv","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","","~","Insufficient Sample Size.","","","","15.120142","-23.605172","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"357915","2008","2008","African Region","AFR","cd100","Chad - National","GYTS","Chad","cd","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","39.2","","","","","51","15.454166","18.732207","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355421","2007","2007","African Region","AFR","cn100","Comoros - National","GYTS","Comoros","cn","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","23.4","","","15.2","34.1","61","-11.6455","43.3333","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361010","2009","2009","African Region","AFR","cf100","Congo - National","GYTS","Congo","cf","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","37.7","","","25.2","52.1","85","-0.228021","15.827659","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361046","2009","2009","African Region","AFR","iv100","Côte d'Ivoire - National","GYTS","Côte d'Ivoire","iv","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","27.4","","","20.9","35.1","236","7.539989","-5.54708","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358786","2008","2008","African Region","AFR","ek100","Equatorial Guinea - National","GYTS","Equatorial Guinea","ek","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","20.9","","","10.1","38.4","75","1.650801","10.267895","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"354197","2006","2006","African Region","AFR","er100","Eritrea - National","GYTS","Eritrea","er","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","31.0","","","19.7","45.1","71","15.179384","39.782334","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361083","2009","2009","African Region","AFR","gh100","Ghana - National","GYTS","Ghana","gh","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","26.9","","","18.4","37.5","110","7.946527","-1.023194","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358856","2008","2008","African Region","AFR","gv100","Guinea - National","GYTS","Guinea","gv","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","39.4","","","24.3","56.7","86","9.945587","-9.696645","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355457","2007","2007","African Region","AFR","ke100","Kenya - National","GYTS","Kenya","ke","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","17.9","","","12.9","24.2","416","-0.023559","37.906193","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358212","2008","2008","African Region","AFR","lt100","Lesotho - National","GYTS","Lesotho","lt","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","37.7","","","27.2","49.6","136","-29.609988","28.233608","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
